Source,County ID,County,SCC,General Emissions Description,Specific Emissions Description,PolName,Tons/day
NonRoad,49003,Box Elder,2260004035,Off-highway Vehicle Gasoline 2-Stroke,Snowblowers (Residential),NOX,0.000156
NonRoad,49003,Box Elder,2260004035,Off-highway Vehicle Gasoline 2-Stroke,Snowblowers (Residential),VOC,0.016462
NonRoad,49003,Box Elder,2260004035,Off-highway Vehicle Gasoline 2-Stroke,Snowblowers (Residential),NH3,0
NonRoad,49003,Box Elder,2260004035,Off-highway Vehicle Gasoline 2-Stroke,Snowblowers (Residential),SO2,0.000002
NonRoad,49003,Box Elder,2260004035,Off-highway Vehicle Gasoline 2-Stroke,Snowblowers (Residential),PM10,0.000528
NonRoad,49003,Box Elder,2260004035,Off-highway Vehicle Gasoline 2-Stroke,Snowblowers (Residential),PM2_5,0.000517
NonRoad,49003,Box Elder,2260004036,Off-highway Vehicle Gasoline 2-Stroke,Snowblowers (Commercial),CO,0.053452
NonRoad,49003,Box Elder,2260004036,Off-highway Vehicle Gasoline 2-Stroke,Snowblowers (Commercial),NOX,0.000173
NonRoad,49003,Box Elder,2260004036,Off-highway Vehicle Gasoline 2-Stroke,Snowblowers (Commercial),VOC,0.01819
NonRoad,49003,Box Elder,2260004036,Off-highway Vehicle Gasoline 2-Stroke,Snowblowers (Commercial),NH3,0
NonRoad,49003,Box Elder,2260004036,Off-highway Vehicle Gasoline 2-Stroke,Snowblowers (Commercial),SO2,0.000002
NonRoad,49003,Box Elder,2260004036,Off-highway Vehicle Gasoline 2-Stroke,Snowblowers (Commercial),PM10,0.000586
NonRoad,49003,Box Elder,2260004036,Off-highway Vehicle Gasoline 2-Stroke,Snowblowers (Commercial),PM2_5,0.000575
NonRoad,49003,Box Elder,2260006005,Off-highway Vehicle Gasoline 2-Stroke,Generator Sets,CO,0.000822
NonRoad,49003,Box Elder,2260006005,Off-highway Vehicle Gasoline 2-Stroke,Generator Sets,NOX,0.000009
NonRoad,49003,Box Elder,2260006005,Off-highway Vehicle Gasoline 2-Stroke,Generator Sets,VOC,0.000214
NonRoad,49003,Box Elder,2260006005,Off-highway Vehicle Gasoline 2-Stroke,Generator Sets,NH3,0
NonRoad,49003,Box Elder,2260006005,Off-highway Vehicle Gasoline 2-Stroke,Generator Sets,SO2,0
NonRoad,49003,Box Elder,2260006005,Off-highway Vehicle Gasoline 2-Stroke,Generator Sets,PM10,0.000028
NonRoad,49003,Box Elder,2260006005,Off-highway Vehicle Gasoline 2-Stroke,Generator Sets,PM2_5,0.000028
NonRoad,49003,Box Elder,2260006010,Off-highway Vehicle Gasoline 2-Stroke,Pumps,CO,0.005397
NonRoad,49003,Box Elder,2260006010,Off-highway Vehicle Gasoline 2-Stroke,Pumps,NOX,0.00006
NonRoad,49003,Box Elder,2260006010,Off-highway Vehicle Gasoline 2-Stroke,Pumps,VOC,0.001533
NonRoad,49003,Box Elder,2260006010,Off-highway Vehicle Gasoline 2-Stroke,Pumps,NH3,0
NonRoad,49003,Box Elder,2260006010,Off-highway Vehicle Gasoline 2-Stroke,Pumps,SO2,0.000001
NonRoad,49003,Box Elder,2260006010,Off-highway Vehicle Gasoline 2-Stroke,Pumps,PM10,0.000211
NonRoad,49003,Box Elder,2260006010,Off-highway Vehicle Gasoline 2-Stroke,Pumps,PM2_5,0.000207
NonRoad,49003,Box Elder,2260006015,Off-highway Vehicle Gasoline 2-Stroke,Air Compressors,CO,0
NonRoad,49003,Box Elder,2260006015,Off-highway Vehicle Gasoline 2-Stroke,Air Compressors,NOX,0
NonRoad,49003,Box Elder,2260006015,Off-highway Vehicle Gasoline 2-Stroke,Air Compressors,VOC,0.000001
NonRoad,49003,Box Elder,2260006015,Off-highway Vehicle Gasoline 2-Stroke,Air Compressors,NH3,0
NonRoad,49003,Box Elder,2260006015,Off-highway Vehicle Gasoline 2-Stroke,Air Compressors,SO2,0
NonRoad,49003,Box Elder,2260006015,Off-highway Vehicle Gasoline 2-Stroke,Air Compressors,PM10,0
NonRoad,49003,Box Elder,2260006015,Off-highway Vehicle Gasoline 2-Stroke,Air Compressors,PM2_5,0
NonRoad,49003,Box Elder,2260006035,Off-highway Vehicle Gasoline 2-Stroke,Hydro-power Units,CO,0.000027
NonRoad,49003,Box Elder,2260006035,Off-highway Vehicle Gasoline 2-Stroke,Hydro-power Units,NOX,0
NonRoad,49003,Box Elder,2260006035,Off-highway Vehicle Gasoline 2-Stroke,Hydro-power Units,VOC,0.00001
NonRoad,49003,Box Elder,2260006035,Off-highway Vehicle Gasoline 2-Stroke,Hydro-power Units,NH3,0
NonRoad,49003,Box Elder,2260006035,Off-highway Vehicle Gasoline 2-Stroke,Hydro-power Units,SO2,0
NonRoad,49003,Box Elder,2260006035,Off-highway Vehicle Gasoline 2-Stroke,Hydro-power Units,PM10,0.000001
NonRoad,49003,Box Elder,2260006035,Off-highway Vehicle Gasoline 2-Stroke,Hydro-power Units,PM2_5,0.000001
NonRoad,49003,Box Elder,2265002003,Off-highway Vehicle Gasoline 4-Stroke,Pavers,CO,0.001836
NonRoad,49003,Box Elder,2265002003,Off-highway Vehicle Gasoline 4-Stroke,Pavers,NOX,0.000032
NonRoad,49003,Box Elder,2265002003,Off-highway Vehicle Gasoline 4-Stroke,Pavers,VOC,0.000046
NonRoad,49003,Box Elder,2265002003,Off-highway Vehicle Gasoline 4-Stroke,Pavers,NH3,0
NonRoad,49003,Box Elder,2265002003,Off-highway Vehicle Gasoline 4-Stroke,Pavers,SO2,0
NonRoad,49003,Box Elder,2265002003,Off-highway Vehicle Gasoline 4-Stroke,Pavers,PM10,0.000001
NonRoad,49003,Box Elder,2265002003,Off-highway Vehicle Gasoline 4-Stroke,Pavers,PM2_5,0.000001
NonRoad,49003,Box Elder,2265002006,Off-highway Vehicle Gasoline 4-Stroke,Tampers/Rammers,CO,0.000027
NonRoad,49003,Box Elder,2265002006,Off-highway Vehicle Gasoline 4-Stroke,Tampers/Rammers,NOX,0
NonRoad,49003,Box Elder,2265002006,Off-highway Vehicle Gasoline 4-Stroke,Tampers/Rammers,VOC,0.000001
NonRoad,49003,Box Elder,2265002006,Off-highway Vehicle Gasoline 4-Stroke,Tampers/Rammers,NH3,0
NonRoad,49003,Box Elder,2265002006,Off-highway Vehicle Gasoline 4-Stroke,Tampers/Rammers,SO2,0
NonRoad,49003,Box Elder,2265002006,Off-highway Vehicle Gasoline 4-Stroke,Tampers/Rammers,PM10,0
NonRoad,49003,Box Elder,2265002006,Off-highway Vehicle Gasoline 4-Stroke,Tampers/Rammers,PM2_5,0
NonRoad,49003,Box Elder,2265002009,Off-highway Vehicle Gasoline 4-Stroke,Plate Compactors,CO,0.003206
NonRoad,49003,Box Elder,2265002009,Off-highway Vehicle Gasoline 4-Stroke,Plate Compactors,NOX,0.000053
NonRoad,49003,Box Elder,2265002009,Off-highway Vehicle Gasoline 4-Stroke,Plate Compactors,VOC,0.000122
NonRoad,49003,Box Elder,2265002009,Off-highway Vehicle Gasoline 4-Stroke,Plate Compactors,NH3,0
NonRoad,49003,Box Elder,2265002009,Off-highway Vehicle Gasoline 4-Stroke,Plate Compactors,SO2,0
NonRoad,49003,Box Elder,2265002009,Off-highway Vehicle Gasoline 4-Stroke,Plate Compactors,PM10,0.000004
NonRoad,49003,Box Elder,2265002009,Off-highway Vehicle Gasoline 4-Stroke,Plate Compactors,PM2_5,0.000004
NonRoad,49003,Box Elder,2265002015,Off-highway Vehicle Gasoline 4-Stroke,Rollers,CO,0.00326
NonRoad,49003,Box Elder,2265002015,Off-highway Vehicle Gasoline 4-Stroke,Rollers,NOX,0.000048
NonRoad,49003,Box Elder,2265002015,Off-highway Vehicle Gasoline 4-Stroke,Rollers,VOC,0.000081
NonRoad,49003,Box Elder,2265002015,Off-highway Vehicle Gasoline 4-Stroke,Rollers,NH3,0
NonRoad,49003,Box Elder,2265002015,Off-highway Vehicle Gasoline 4-Stroke,Rollers,SO2,0
NonRoad,49003,Box Elder,2265002015,Off-highway Vehicle Gasoline 4-Stroke,Rollers,PM10,0.000002
NonRoad,49003,Box Elder,2265002015,Off-highway Vehicle Gasoline 4-Stroke,Rollers,PM2_5,0.000002
NonRoad,49003,Box Elder,2265002021,Off-highway Vehicle Gasoline 4-Stroke,Paving Equipment,CO,0.007069
NonRoad,49003,Box Elder,2265002021,Off-highway Vehicle Gasoline 4-Stroke,Paving Equipment,NOX,0.000113
NonRoad,49003,Box Elder,2265002021,Off-highway Vehicle Gasoline 4-Stroke,Paving Equipment,VOC,0.000205
