,Day,,,,,,,,,Last week,,,,,,,Day of Week,,,,,,
Date,Time,Percent,#,Spacing,# >60 dB,# >50 dB,Longest,Loudest,dB at Source,Avg time,Avg Percent,Avg Spacing,Avg dB,Total >60 dB,Total >50 dB,Day of Week,dB,Time,%,#,>50,>60,
11/11,3m 16s,5.44444444444444,12,0h 5m,0,2,42,58,94,2m 49s,4.01984126984127,0:07:03,54.6666666666667,0,12,Tuesday,55.6888888888889,3m 26s 174ms,5.60863553236094,10.5111111111111,2.61363636363636,0.340909090909091,
11/12,24s,0.666666666666667,2,0h 30m,0,0,17,48,84,2m 28s,3.53174603174603,0:10:16,52.8333333333333,0,10,Wednesday,57.2380952380952,3m 15s 558ms,5.19074074074074,9.97619047619048,2.46341463414634,0.439024390243902,
11/13,1m 13s,2.02777777777778,3,0h 20m,0,1,35,50,86,2m 30s,3.57936507936508,0:11:25,53.1666666666667,0,11,Thursday,56.5652173913043,3m 12s 152ms,5.19406708696023,10.0869565217391,2.52272727272727,0.431818181818182,
11/14,2m 44s,4.55555555555556,14,0h 4m 17s 143ms,0,1,27,58,94,2m 37s,3.74206349206349,0:10:57,54.1666666666667,0,11,Friday,57.6,4m 41s 805ms,7.56366663052709,13,3.05263157894737,0.421052631578947,
11/15,7m 36s,12.6666666666667,21,0h 2m 51s 429ms,0,6,123,57,93,3m 7s,4.46031746031747,0:10:42,54,0,13,Saturday,59.0975609756098,0d 0h 4m 41s 500ms,8.03931614393466,13.7560975609756,3.8974358974359,0.717948717948718,
11/16,12s,0.333333333333333,2,19m 30s,0,0,6,48,84,2m 34s,3.67063492063493,0:12:38,53.1666666666667,0,10,Sunday,57.4666666666667,3m 54s 348ms,6.37115839243498,9.64444444444444,3.06976744186047,0.558139534883721,
11/17,45s,1.92307692307692,5,7m 48s,0,1,15,51,87,2m 19s,3.9453601953602,0:12:47,52.8571428571429,0,11,Monday,55.6041666666667,3m 1s 531ms,4.92006475099185,8.54761904761905,2.02173913043478,0.260869565217391,39m
11/18,2m 58s,4.94444444444444,9,0h 6m 40s,0,2,30,53,89,2m 16s,3.87393162393163,0:13:01,52.1428571428571,0,11,Tuesday,55.6888888888889,3m 26s 174ms,5.60863553236094,10.5111111111111,2.61363636363636,0.340909090909091,
11/19,,,,,,,,,,,,,,,,Wednesday,57.2380952380952,3m 15s 558ms,5.19074074074074,9.97619047619048,2.46341463414634,0.439024390243902,
11/20,2m 3s,3.41666666666667,7,0h 8m 34s 286ms,0,3,50,59,95,2m 43s,4.63995726495727,0:08:17,54.3333333333333,0,13,Thursday,56.5652173913043,3m 12s 152ms,5.19406708696023,10.0869565217391,2.52272727272727,0.431818181818182,
11/21,5m 2s,8.38888888888889,15,0h 4m,0,5,65,59,95,3m 6s,5.27884615384616,0:08:14,54.5,0,17,Friday,57.6,4m 41s 805ms,7.56366663052709,13,3.05263157894737,0.421052631578947,
11/22,3m 28s,5.77777777777778,10,0h 6m,1,4,52,64,100,2m 25s,4.13069800569801,0:08:45,55.6666666666667,1,15,Saturday,59.0975609756098,0d 0h 4m 41s 500ms,8.03931614393466,13.7560975609756,3.8974358974359,0.717948717948718,
11/23,3m 5s,5.13888888888889,12,0h 5m,0,3,34,52,88,2m 54s,4.93162393162393,0:06:20,56.3333333333333,1,18,Sunday,57.4666666666667,3m 54s 348ms,6.37115839243498,9.64444444444444,3.06976744186047,0.558139534883721,
11/24,,,,,,,,,,,,,,,,Monday,55.6041666666667,3m 1s 531ms,4.92006475099185,8.54761904761905,2.02173913043478,0.260869565217391,
11/25,,,,,,,,,,,,,,,,Tuesday,55.6888888888889,3m 26s 174ms,5.60863553236094,10.5111111111111,2.61363636363636,0.340909090909091,
11/26,,,,,,,,,,,,,,,,Wednesday,57.2380952380952,3m 15s 558ms,5.19074074074074,9.97619047619048,2.46341463414634,0.439024390243902,
11/27,,,,,,,,,,,,,,,,Thursday,56.5652173913043,3m 12s 152ms,5.19406708696023,10.0869565217391,2.52272727272727,0.431818181818182,
11/28,,,,,,,,,,,,,,,,Friday,57.6,4m 41s 805ms,7.56366663052709,13,3.05263157894737,0.421052631578947,
11/29,6m,10,18,0h 3m 20s,0,4,50,56,92,4m 33s,7.56944444444445,0:04:10,54,0,7,Saturday,59.0975609756098,0d 0h 4m 41s 500ms,8.03931614393466,13.7560975609756,3.8974358974359,0.717948717948718,
11/30,5m 40s,9.44444444444444,9,0h 6m 40s,0,1,88,52,88,5m 50s,9.72222222222222,0:05:00,54,0,5,Sunday,57.4666666666667,3m 54s 348ms,6.37115839243498,9.64444444444444,3.06976744186047,0.558139534883721,
12/1,2m 4s,3.44444444444444,6,0h 10m,0,2,41,54,90,4m 35s,7.62962962962963,0:06:40,54,0,7,Monday,55.6041666666667,3m 1s 531ms,4.92006475099185,8.54761904761905,2.02173913043478,0.260869565217391,10.7889170231543
12/2,1m 49s,3.02777777777778,8,0h 7m 30s,0,3,37,52,88,3m 53s,6.47916666666667,0:06:53,53.5,0,10,Tuesday,55.6888888888889,3m 26s 174ms,5.60863553236094,10.5111111111111,2.61363636363636,0.340909090909091,0h 5m 33s 676ms
12/3,2m,3.33333333333333,8,0h 7m 30s,0,5,25,55,91,3m 31s,5.85,0:07:00,53.8,0,15,Wednesday,57.2380952380952,3m 15s 558ms,5.19074074074074,9.97619047619048,2.46341463414634,0.439024390243902,
